Dates,Close
2019-01-01,53.13
2019-01-02,55.69
2019-01-03,54.88
2019-01-04,56.91
2019-01-07,58.49
2019-01-08,58.31
2019-01-09,60.66
2019-01-10,61.47
2019-01-11,60.73
2019-01-14,60.29
2019-01-15,60.02
2019-01-16,61.02
2019-01-17,60.92
2019-01-18,62.68
2019-01-21,62.92
2019-01-22,61.16
2019-01-23,61.13
2019-01-24,61.04
2019-01-25,61.48
2019-01-28,59.8
2019-01-29,61.39
2019-01-30,62.33
2019-01-31,62.28
2019-02-01,62.16
2019-02-04,62.43
2019-02-05,62.17
2019-02-06,62.71
2019-02-07,61.38
2019-02-08,61.87
2019-02-11,61.4
2019-02-12,62.66
2019-02-13,63.77
2019-02-14,64.16
2019-02-15,65.95
2019-02-18,66.57
2019-02-19,66.14
2019-02-20,67.07
2019-02-21,67.16
2019-02-22,67.26
2019-02-25,64.88
2019-02-26,65.37
2019-02-27,66.55
2019-02-28,66.02
2019-03-01,65.22
2019-03-04,65.89
2019-03-05,65.8
2019-03-06,65.69
2019-03-07,65.99
2019-03-08,65.79
2019-03-11,66.36
2019-03-12,66.7
2019-03-13,67.2
2019-03-14,67.38
2019-03-15,66.9
2019-03-18,67.44
2019-03-19,67.52
2019-03-20,68.34
2019-03-21,68.15
2019-03-22,66.53
2019-03-25,67.24
2019-03-26,67.85
2019-03-27,68.06
2019-03-28,67.18
2019-03-29,68.55
2019-04-01,68.93
2019-04-02,69.53
2019-04-03,69.16
2019-04-04,69.74
2019-04-05,69.88
2019-04-08,70.97
2019-04-09,70.81
2019-04-10,71.53
2019-04-11,71.4
2019-04-12,71.72
2019-04-15,71.15
2019-04-16,71.34
2019-04-17,71.89
2019-04-18,71.9
2019-04-19,71.9
2019-04-22,71.9
2019-04-23,72.08
2019-04-24,74.59
2019-04-25,75.15
2019-04-26,71.98
2019-04-29,72.02
2019-04-30,72.9
2019-05-01,71.81
2019-05-02,70.21
2019-05-03,71.45
2019-05-06,71.45
2019-05-07,70.39
2019-05-08,70.71
2019-05-09,70.91
2019-05-10,70.88
2019-05-13,71.09
2019-05-14,71.38
2019-05-15,72.26
2019-05-16,73.35
2019-05-17,72.64
2019-05-20,72.66
2019-05-21,72.16
2019-05-22,71.14
2019-05-23,67.72
2019-05-24,67.81
2019-05-27,67.81
2019-05-28,69.79
2019-05-29,68.85
2019-05-30,67.55
2019-05-31,64.93
2019-06-03,61.5
2019-06-04,61.9
2019-06-05,60.45
2019-06-06,60.79
2019-06-07,62.9
2019-06-10,63.16
2019-06-11,62.72
2019-06-12,61.01
2019-06-13,61.78
2019-06-14,62.24
2019-06-17,61.79
2019-06-18,62.55
2019-06-19,62.1
2019-06-20,64.26
2019-06-21,65.34
2019-06-24,64.35
2019-06-25,65.53
2019-06-26,66.5
2019-06-27,66.43
2019-06-28,66.87
2019-07-01,65.01
2019-07-02,63.07
2019-07-03,63.19
2019-07-04,63.55
2019-07-05,64.08
2019-07-08,64.74
2019-07-09,64.15
2019-07-10,66.16
2019-07-11,67.0
2019-07-12,66.8
2019-07-15,66.76
2019-07-16,66.67
2019-07-17,64.13
2019-07-18,61.82
2019-07-19,62.29
